geoname,cvap_est
"Tippecanoe, Indiana",134760
"Tipton, Indiana",12060
"Union, Indiana",5530
"Vanderburgh, Indiana",138000
"Vermillion, Indiana",12050
"Vigo, Indiana",83000
"Wabash, Indiana",24440
"Warren, Indiana",6590
"Warrick, Indiana",48030
"Washington, Indiana",21700
"Wayne, Indiana",50355
"Wells, Indiana",21060
"White, Indiana",18130
"Whitley, Indiana",26280
"Adair, Iowa",5800
"Adams, Iowa",2895
"Allamakee, Iowa",10330
"Appanoose, Iowa",9510
"Audubon, Iowa",4375
"Benton, Iowa",19675
"Black Hawk, Iowa",98845
"Boone, Iowa",21000
"Bremer, Iowa",19250
"Buchanan, Iowa",15165
"Buena Vista, Iowa",12855
"Butler, Iowa",11000
"Calhoun, Iowa",7710
"Carroll, Iowa",15545
"Cass, Iowa",10175
"Cedar, Iowa",14320
"Cerro Gordo, Iowa",33700
"Cherokee, Iowa",9020
"Chickasaw, Iowa",9045
"Clarke, Iowa",7020
"Clay, Iowa",12550
"Clayton, Iowa",13300
"Clinton, Iowa",35605
"Crawford, Iowa",11130
"Dallas, Iowa",69665
"Davis, Iowa",6355
"Decatur, Iowa",5860
"Delaware, Iowa",13335
"Des Moines, Iowa",29590
"Dickinson, Iowa",14010
"Dubuque, Iowa",74915
"Emmet, Iowa",7365
"Fayette, Iowa",15140
"Floyd, Iowa",12010
"Franklin, Iowa",7255
"Fremont, Iowa",5130
"Greene, Iowa",6820
"Grundy, Iowa",9345
"Guthrie, Iowa",8185
"Hamilton, Iowa",11190
"Hancock, Iowa",8380
"Hardin, Iowa",13375
"Harrison, Iowa",11220
"Henry, Iowa",15840
"Howard, Iowa",6980
"Humboldt, Iowa",7180
"Ida, Iowa",5240
"Iowa, Iowa",12590
"Jackson, Iowa",15105
"Jasper, Iowa",29050
"Jefferson, Iowa",11855
"Johnson, Iowa",113510
"Jones, Iowa",16355
"Keokuk, Iowa",7670
"Kossuth, Iowa",11250
"Lee, Iowa",26160
"Linn, Iowa",171810
"Louisa, Iowa",7855
"Lucas, Iowa",6605
"Lyon, Iowa",8525
"Madison, Iowa",12440
"Mahaska, Iowa",16660
"Marion, Iowa",25455
"Marshall, Iowa",26960
"Mills, Iowa",10985
"Mitchell, Iowa",7935
"Monona, Iowa",6760
"Monroe, Iowa",5770
"Montgomery, Iowa",7955
"Muscatine, Iowa",30935
"O'Brien, Iowa",10475
"Osceola, Iowa",4580
"Page, Iowa",12255
"Palo Alto, Iowa",6745
"Plymouth, Iowa",18645
"Pocahontas, Iowa",5360
"Polk, Iowa",350695
