State,Area name,"Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
NE,Nemaha,9.8,29.4,30.4,30.5
NE,Nuckolls,7.2,30.7,35.2,26.8
NE,Otoe,7.1,32.3,35,25.6
NE,Pawnee,14.1,40.1,25.4,20.4
NE,Perkins,9.4,26.2,38.6,25.9
NE,Phelps,7.7,27,38.6,26.7
NE,Pierce,5.5,32.9,39.6,22.1
NE,Platte,10.3,29.7,35.4,24.6
NE,Polk,7.9,36,37.5,18.6
NE,Red Willow,7.7,30.8,37.1,24.4
NE,Richardson,8.7,40.6,30.3,20.4
NE,Rock,4.9,34.7,31.8,28.6
NE,Saline,19.5,27.9,30.7,21.9
NE,Sarpy,4.3,20.4,34.1,41.2
NE,Saunders,4.7,29.4,36.8,29.1
NE,Scotts Bluff,10.9,27.9,36,25.2
NE,Seward,5.8,28,35.2,31
NE,Sheridan,10.3,30.9,37.1,21.7
NE,Sherman,9.1,36.3,35.7,18.9
NE,Sioux,4,26.2,45,24.9
NE,Stanton,6,30.8,43.1,20.1
NE,Thayer,6.5,33.3,37.6,22.5
NE,Thomas,8.5,22,45,24.6
NE,Thurston,10.2,34,36,19.8
NE,Valley,6.3,31.3,35.4,27
NE,Washington,4.9,26.3,34.5,34.3
NE,Wayne,4.3,29.8,33.3,32.7
NE,Webster,6.1,33,39.4,21.5
NE,Wheeler,2.1,30.4,42.7,24.7
NE,York,6.2,28.8,39.8,25.3
NV,Nevada,12.9,27.6,32.9,26.5
NV,Churchill,7.8,33.8,40.8,17.6
NV,Clark,13.5,27.8,32.2,26.4
NV,Douglas,6.6,24.4,37.7,31.3
NV,Elko,11.1,33.8,38.1,17
NV,Esmeralda,21.9,22.7,31.2,24.3
NV,Eureka,4.8,42,38,15.2
NV,Humboldt,14.6,34.1,30.5,20.8
NV,Lander,9.8,34.6,41.6,14
NV,Lincoln,11.8,43.4,29.5,15.3
NV,Lyon,12.6,31.9,39.3,16.1
NV,Mineral,9.7,41.6,34,14.6
NV,Nye,13.3,35.7,38.5,12.5
NV,Pershing,15.9,42.5,31.5,10.1
NV,Storey,7.6,19.1,42,31.4
NV,Washoe,11.5,23.7,32.4,32.5
NV,White Pine,10.7,42.4,33.6,13.3
NV,Carson City,11.4,25.6,38.7,24.3
NH,New Hampshire,6.2,27.2,27.6,39
NH,Belknap,6.6,29.7,31.8,31.9
NH,Carroll,5,26.9,30.6,37.5
NH,Cheshire,6.2,31.6,27.8,34.4
NH,Coos,11.1,38.2,30.3,20.4
NH,Grafton,6.8,26.1,23.8,43.3
NH,Hillsborough,7,25.7,27.1,40.2
NH,Merrimack,6.5,29,27.7,36.8
NH,Rockingham,4.2,25,27.2,43.6
NH,Strafford,5.6,26,29.7,38.7
NH,Sullivan,9.1,36.5,24.3,30.1
NJ,New Jersey,9.4,26.1,22.3,42.3
NJ,Atlantic,11.6,32.5,25.8,30.1
NJ,Bergen,7,20.7,20.7,51.7
NJ,Burlington,5.9,26.4,26.6,41.1
NJ,Camden,10.7,29.3,25.7,34.3
NJ,Cape May,6.1,31.5,26.6,35.9
NJ,Cumberland,18.8,39.2,24.7,17.3
NJ,Essex,13.1,27.8,21.7,37.4
NJ,Gloucester,6.4,31.2,27.3,35.2
NJ,Hudson,12.8,23.3,17.3,46.6
NJ,Hunterdon,4.2,19.4,20.9,55.5
NJ,Mercer,10.3,25.4,20.2,44.2
NJ,Middlesex,10.3,23.5,21,45.1
NJ,Monmouth,5.7,21.4,23,49.9
NJ,Morris,4.9,18.8,19.1,57.1
NJ,Ocean,6.9,33.3,26.9,32.9
NJ,Passaic,14.8,33.8,21.2,30.1
NJ,Salem,9.8,39.9,27.5,22.8
NJ,Somerset,6,17.9,18.9,57.3
NJ,Sussex,4.6,28.7,27.8,39
NJ,Union,13.2,27.2,21.3,38.3
NJ,Warren,6.2,32.2,26.2,35.5
NM,New Mexico,12.9,25.9,32.1,29.1
NM,Bernalillo,9.8,22.6,31,36.6
NM,Catron,3.5,39.2,42.4,14.9
NM,Chaves,18.8,27.1,36.6,17.5
NM,Cibola,15.8,32.8,36.7,14.7
NM,Colfax,9.5,32.3,36.2,22.1
NM,Curry,19.1,25.4,34.1,21.5
NM,De Baca,15.4,24.9,50.5,9.2
NM,Dona Ana,18.4,22.5,28.7,30.4
NM,Eddy,16,29.8,36,18.2
NM,Grant,11.4,26.9,35.3,26.4
NM,Guadalupe,19.5,44.3,22.2,14
NM,Harding,13.2,30.4,25.9,30.6
NM,Hidalgo,17,36.6,29.6,16.9
NM,Lea,23.9,33.1,28.4,14.6
NM,Lincoln,9.9,29.3,36.6,24.3
NM,Los Alamos,2.1,10.2,18,69.7
NM,Luna,26.8,35.7,25.7,11.9
NM,McKinley,19.3,35.8,32.5,12.4
NM,Mora,6.6,39.5,33.3,20.6
NM,Otero,13.4,28.8,36.7,21
NM,Quay,13.8,38,32.1,16
NM,Rio Arriba,14.7,32.8,34.3,18.2
NM,Roosevelt,14.3,32.5,32.9,20.4
NM,Sandoval,8.1,24.9,34.8,32.1
NM,San Juan,14.4,29.3,40.5,15.7
NM,San Miguel,16.5,24.9,34.8,23.8
NM,Santa Fe,9.3,21,27.5,42.2
NM,Sierra,9.7,36.2,34.4,19.7
NM,Socorro,15.3,43.5,24.5,16.8
NM,Taos,6.6,26.4,32.6,34.5
NM,Torrance,14,36.4,35.1,14.5
NM,Union,12.4,42.9,29.1,15.5
NM,Valencia,15.2,30.8,32.9,21.1
NY,Albany,7.4,21.7,26.5,44.4
NY,Allegany,8.6,34,32.8,24.5
NY,Bronx,25.5,28.2,25.1,21.2
NY,Broome,9.4,30,30.7,29.8
NY,Cattaraugus,10.7,40.2,28.9,20.2
NY,Cayuga,11.5,32.2,33.3,23
NY,Chautauqua,10.3,33.7,31.7,24.3
NY,Chemung,9.8,34,31.6,24.6
NY,Chenango,11.5,40.6,29.7,18.3
NY,Clinton,12.1,32.9,27.8,27.2
NY,Columbia,8,29.3,26.4,36.4
NY,Cortland,9.4,30.7,32.1,27.8
NY,Delaware,9.6,38.1,27.3,25
NY,Dutchess,8.4,25.7,26.9,39
NY,Erie,7.8,26.1,29.7,36.4
NY,Essex,8.4,32.8,27.7,31.2
NY,Franklin,13,35,29.8,22.1
NY,Fulton,12.5,36.2,32,19.3
NY,Genesee,7.5,37.1,32.3,23.2
NY,Greene,11.5,34.9,26,27.6
NY,Hamilton,14.2,29.8,32.7,23.4
NY,Herkimer,8.7,34.3,34.7,22.4
NY,Jefferson,8.4,32.2,34.2,25.2
NY,Kings,16.2,24.8,18.6,40.4
NY,Lewis,8.8,43.4,28.6,19.2
NY,Livingston,7.7,31.3,31.5,29.5
NY,Madison,6.9,34.4,31.8,26.9
NY,Monroe,8.6,22.9,28,40.5
NY,Montgomery,11.2,35.7,33.3,19.8
NY,Nassau,8.2,21.4,22.1,48.2
NY,New York,11.5,12.3,13.4,62.8
NY,Niagara,8.3,31.8,32.8,27
NY,Oneida,11.1,30.4,31.2,27.3
NY,Onondaga,8.6,25.1,29.3,36.9
NY,Ontario,6.7,25.5,30.6,37.2
NY,Orange,10.3,28.5,29.7,31.6
NY,Orleans,13.9,38.8,29.5,17.8
NY,Oswego,10.2,37,31.3,21.4
NY,Otsego,7.4,31.3,27.7,33.7
NY,Putnam,6.7,25.1,25.3,42.8
NY,Queens,17.2,26,22,34.8
NY,Rensselaer,7.6,26.7,30.4,35.4
NY,Richmond,11.3,29.7,23.6,35.3
NY,Rockland,11.4,22.1,24.1,42.5
NY,St. Lawrence,11.2,35.5,29.8,23.5
NY,Saratoga,6,24.3,26.3,43.4
NY,Schenectady,8.4,26.7,30.7,34.2
NY,Schoharie,8.9,34.5,31.7,25
NY,Schuyler,8.1,35.5,32,24.5
NY,Seneca,15.8,32.5,29.5,22.1
NY,Steuben,8.5,34.9,30.7,25.9
NY,Suffolk,9.5,25.4,26,39
NY,Sullivan,13.3,31,27.9,27.8
NY,Tioga,8,35.7,30,26.3
NY,Tompkins,4.3,17,21.1,57.5
NY,Ulster,8.5,28.3,27.6,35.6
NY,Warren,8.3,28.4,29.4,33.8
NY,Washington,10.9,38.9,29.1,21.1
NY,Wayne,9.4,31.6,33.9,25
NY,Westchester,10.7,17.9,19.7,51.8
NY,Wyoming,12.5,37.9,31.4,18.2
NY,Yates,15.7,35.6,24.7,24
NC,North Carolina,10.6,25.2,30.4,33.9
NC,Alamance,11.7,27.9,33.1,27.3
NC,Alexander,14,40.5,30.1,15.3
NC,Alleghany,17.7,30.1,31.5,20.7
NC,Anson,17.5,43.9,27.2,11.4
NC,Ashe,13,30.1,36.1,20.8
NC,Avery,13.1,31,33.6,22.3
NC,Beaufort,13.2,31.5,35.8,19.5
NC,Bertie,19.5,36.3,27.7,16.6
NC,Bladen,11.8,33.9,34.1,20.3
NC,Brunswick,6.5,26.8,34.3,32.4
NC,Buncombe,7.9,23.2,25.9,43
NC,Burke,15.2,32.4,32.6,19.8
NC,Cabarrus,8,26,29.5,36.5
NC,Caldwell,18.1,31.8,32.8,17.2
NC,Camden,7.7,30.3,37.6,24.3
NC,Carteret,7.9,23.6,36.6,31.9
NC,Caswell,16.3,37.1,31.1,15.4
NC,Catawba,12.6,30,32.6,24.8
NC,Chatham,10.6,18.2,24.7,46.5
NC,Cherokee,8.8,33,34.5,23.6
NC,Chowan,13.4,33.6,28.8,24.2
NC,Clay,11.7,24.3,35.2,28.8
NC,Cleveland,13.2,34.7,32.7,19.4
NC,Columbus,14.4,37.5,33.6,14.5
NC,Craven,9.1,26.8,38.5,25.7
NC,Cumberland,7.7,26.5,38.9,26.9
NC,Currituck,7.2,32.6,33.2,27.1
NC,Dare,5.1,21.3,31.1,42.5
NC,Davidson,13.5,32.7,33.4,20.5
NC,Davie,10.2,30.4,33.2,26.2
NC,Duplin,19.7,31.5,32.9,15.9
NC,Durham,9.3,17.2,21.6,51.9
NC,Edgecombe,14.4,38,29.8,17.7
NC,Forsyth,10.8,24.9,29.1,35.3
NC,Franklin,13.1,29.4,33.8,23.7
NC,Gaston,12.4,29.4,33.2,25
NC,Gates,9.5,43.4,38.1,8.9
NC,Graham,15.9,35.6,34.7,13.8
NC,Granville,14.2,30.7,31.5,23.7
NC,Greene,23.9,33.7,30.9,11.5
NC,Guilford,9.9,22.7,29.5,37.9
NC,Halifax,18.9,36.7,28.7,15.7
NC,Harnett,11.8,29,36.4,22.8
NC,Haywood,9.6,27,34.7,28.7
NC,Henderson,8.4,25.2,32.4,34
NC,Hertford,16.1,35,32.8,16
NC,Hoke,11.1,27.9,40.8,20.2
NC,Hyde,19,37.9,28.9,14.2
NC,Iredell,9.1,26.4,31.7,32.7
NC,Jackson,10.7,28.4,31,29.8
NC,Johnston,10.5,27.7,35.6,26.2
NC,Jones,14.2,36.8,33.3,15.7
NC,Lee,14.9,26.9,37.3,21
NC,Lenoir,17.9,33.3,33.8,15
NC,Lincoln,10.2,30.2,33.6,26.1
NC,McDowell,13.8,34.4,33.8,18
NC,Macon,10.5,31.9,33.1,24.5
NC,Madison,11.1,31,25.7,32.2
NC,Martin,18,30.4,36.1,15.5
NC,Mecklenburg,9.1,16.4,26.7,47.8
NC,Mitchell,10.2,29.8,38,22
NC,Montgomery,16.1,33.9,30.3,19.7
NC,Moore,7.2,20.8,32.2,39.9
NC,Nash,13.4,32.6,32,21.9
NC,New Hanover,6.5,19.1,31,43.4
NC,Northampton,16.5,34,31.7,17.8
NC,Onslow,8,29.7,36.7,25.7
NC,Orange,6.6,12.7,19.1,61.7
NC,Pamlico,10,31.6,34,24.5
NC,Pasquotank,10.3,28.5,35.1,26.1
NC,Pender,9.8,28.1,33.5,28.6
NC,Perquimans,13.6,32.3,34.5,19.6
NC,Person,11.6,35.3,35.7,17.5
NC,Pitt,9.8,24.6,32.4,33.1
NC,Polk,7.2,26.6,32.8,33.3
NC,Randolph,16,35.1,32.1,16.8
NC,Richmond,17.3,31,34.5,17.2
NC,Robeson,21.6,33.7,30,14.6
NC,Rockingham,16.4,35,33.2,15.4
NC,Rowan,12.6,33.2,33.7,20.6
NC,Rutherford,14.1,30.9,35.2,19.8
NC,Sampson,17.4,36,31.7,14.9
NC,Scotland,17.8,35.2,32.6,14.5
NC,Stanly,14,32.8,34.4,18.7
NC,Stokes,12.5,38.2,33.1,16.1
NC,Surry,18,29.2,34.6,18.2
NC,Swain,14.9,32.6,31.4,21.1
NC,Transylvania,6.2,24,32.7,37.1
NC,Tyrrell,22.7,37.6,27.5,12.2
NC,Union,9.6,22.9,29.1,38.4
NC,Vance,15.3,35.2,31.6,17.8
NC,Wake,6,14.6,23.7,55.7
NC,Warren,14.6,39.8,28.3,17.3
NC,Washington,14.2,33.6,38,14.1
NC,Watauga,7.5,21.5,26.4,44.5
NC,Wayne,14.3,29.7,36.1,20
NC,Wilkes,18.5,32.7,32.4,16.4
NC,Wilson,16.6,33.5,29.5,20.5
NC,Yadkin,13.5,36.2,36.2,14.1
NC,Yancey,11.5,34.5,31.7,22.4
ND,North Dakota,6.5,26.1,36,31.4
ND,Adams,6.7,36.9,36,20.4
ND,Barnes,5,31.2,35.1,28.7
ND,Benson,12.8,30.2,36.3,20.6
ND,Billings,4.8,35.5,30.8,28.9
ND,Bottineau,7.3,30.5,35.9,26.3
ND,Bowman,11,33.4,33.8,21.8
ND,Burke,8.1,26.5,40.7,24.7
ND,Burleigh,5.1,23.2,34.4,37.3
ND,Cass,4.4,18.9,34.1,42.6
ND,Cavalier,6.7,25.9,43.8,23.6
ND,Dickey,8.6,26.7,38,26.7
ND,Divide,9.6,23,46.1,21.3
ND,Dunn,9.4,34.3,37.3,19
ND,Eddy,8,29.9,35.2,26.9
ND,Emmons,10.5,35,36.4,18.1
ND,Foster,5.7,29.7,42.2,22.4
ND,Golden Valley,5.3,22.5,48.6,23.6
ND,Grand Forks,4.4,22.2,36.7,36.7
ND,Grant,8.2,32.7,38,21.1
ND,Griggs,8.8,32.2,32.3,26.7
ND,Hettinger,12,33.4,36.9,17.7
ND,Kidder,10,32.9,38.3,18.7
ND,LaMoure,9.8,29.1,35.7,25.3
ND,Logan,8.8,27.9,39,24.3
ND,McHenry,9.5,33.1,38.1,19.4
ND,McIntosh,12.4,35,35.9,16.7
ND,McKenzie,7.3,28,40.1,24.6
ND,McLean,6.8,32.2,38.8,22.2
ND,Mercer,10.5,25.1,44.5,19.9
ND,Morton,6.4,28.7,38.1,26.7
ND,Mountrail,11.1,31.8,34.5,22.7
ND,Nelson,6,27.6,37.8,28.6
ND,Oliver,5.4,30.9,42.1,21.6
ND,Pembina,7.9,32.7,37.5,21.9
ND,Pierce,6.8,29.6,34.2,29.4
ND,Ramsey,7.3,26.8,40.4,25.5
ND,Ransom,9.1,35.5,34.1,21.2
ND,Renville,8.8,31.4,37,22.8
ND,Richland,6.5,24.6,44.9,24
ND,Rolette,14.6,27.8,41.4,16.2
ND,Sargent,5.8,35.1,40.7,18.4
ND,Sheridan,9.6,39.9,36.1,14.3
ND,Sioux,14.1,36.2,38.2,11.5
ND,Slope,8.4,34.9,34,22.8
ND,Stark,8.1,31.5,35.2,25.2
ND,Steele,3.8,24.2,42,30
ND,Stutsman,8.3,36.5,30.8,24.5
ND,Towner,14.6,28.2,40.1,17.1
ND,Traill,6.3,25.9,37.2,30.6
ND,Walsh,13.1,35.5,33.5,17.9
ND,Ward,5.9,28.8,35.8,29.4
ND,Wells,8.9,37.7,31.9,21.6
ND,Williams,9.2,31.4,34.9,24.5
OH,Ohio,8.6,32.4,28.6,30.4
OH,Adams,15,44.5,25.2,15.2
OH,Allen,8,40.2,32.6,19.1
OH,Ashland,10.1,42.8,25.2,21.9
OH,Ashtabula,13.4,42.1,28.8,15.7
OH,Athens,8.3,31.5,25.9,34.3
OH,Auglaize,6.6,42.2,30.5,20.7
OH,Belmont,8.5,46.1,27.9,17.4
OH,Brown,12.5,45.2,27.7,14.5
OH,Butler,8.8,32.5,26.8,31.9
OH,Carroll,11.1,47.1,28.3,13.5
OH,Champaign,8.6,41.9,31.3,18.1
OH,Clark,11,37.3,33,18.6
OH,Clermont,8.6,32.5,28.7,30.2
OH,Clinton,8.9,39.4,31.1,20.6
OH,Columbiana,10.2,45,28.4,16.5
OH,Coshocton,15.5,42.9,25.2,16.5
OH,Crawford,10.1,46.1,29,14.8
OH,Cuyahoga,9.1,27.1,28.6,35.2
OH,Darke,8.9,45.5,29.2,16.3
OH,Defiance,8,40.4,32.6,18.9
OH,Delaware,2.8,16.5,23.2,57.4
OH,Erie,8.1,34,31.4,26.5
OH,Fairfield,6.1,32.8,30,31.1
OH,Fayette,15,47,24.2,13.7
OH,Franklin,8.5,24,25.8,41.7
OH,Fulton,6.1,43.1,32.5,18.3
OH,Gallia,13.7,40.7,27.5,18.2
OH,Geauga,8.9,25.6,26.1,39.4
OH,Greene,5.8,22.6,30.4,41.2
OH,Guernsey,13.8,42.6,28.7,14.9
OH,Hamilton,7.9,25.6,26.2,40.3
OH,Hancock,6.2,36.2,29.1,28.5
OH,Hardin,8.4,47.3,25.9,18.5
OH,Harrison,11.8,48.6,27.9,11.7
OH,Henry,7,42.9,32,18.1
OH,Highland,15,41.7,28.1,15.2
OH,Hocking,12.1,42.3,30.9,14.7
OH,Holmes,42.4,32.3,14.2,11.1
OH,Huron,9.8,45.5,29.1,15.5
OH,Jackson,12.9,45.9,25.3,15.9
OH,Jefferson,7.4,43.4,29.7,19.5
OH,Knox,8.5,38.6,29.2,23.7
OH,Lake,6.4,31.7,32,29.9
OH,Lawrence,10.6,43.3,27.9,18.2
OH,Licking,6.8,33.7,29.9,29.5
OH,Logan,7,43.4,30.8,18.9
OH,Lorain,8.8,31.4,32.6,27.2
OH,Lucas,9.1,29.9,33,28
OH,Madison,11.2,39.3,29.2,20.4
OH,Mahoning,8.6,36.4,28.9,26.2
OH,Marion,10.5,43.9,32.2,13.5
OH,Medina,5,29.6,29.6,35.9
OH,Meigs,14.2,45.6,28.7,11.5
OH,Mercer,7,44.1,28.6,20.4
OH,Miami,7.2,37.1,31,24.7
OH,Monroe,11.2,49.6,28.6,10.7
OH,Montgomery,8.3,27.8,33.9,30
OH,Morgan,13.5,44.7,30.7,11.2
OH,Morrow,10.3,45.3,27.5,16.9
OH,Muskingum,9.6,42.6,28.4,19.3
OH,Noble,15.3,50.9,20.7,13.1
OH,Ottawa,6.9,35.5,30.7,26.9
OH,Paulding,10.1,44.7,29.8,15.4
OH,Perry,12,45.6,27.6,14.8
OH,Pickaway,12.3,40.7,27.4,19.6
OH,Pike,15.8,47.5,22.6,14
OH,Portage,7.1,36,25.1,31.7
OH,Preble,8,44.6,28.6,18.8
OH,Putnam,5.2,37.9,31,25.9
OH,Richland,10.4,41.8,30,17.8
OH,Ross,11.3,45.4,26.8,16.5
OH,Sandusky,6.8,42.4,32.4,18.3
OH,Scioto,12.4,43.4,26.6,17.6
OH,Seneca,6.6,43.5,31,18.9
OH,Shelby,8.8,41.1,29.4,20.7
OH,Stark,7.3,38,30.7,24.1
OH,Summit,7.5,29.1,28.9,34.6
OH,Trumbull,10.4,42.9,26.6,20
OH,Tuscarawas,11.2,44.8,24.3,19.7
OH,Union,5.1,30.5,25.1,39.3
OH,Van Wert,7.3,44.2,31.3,17.2
OH,Vinton,19.7,41.6,23.3,15.4
OH,Warren,5.2,24.9,25.3,44.7
OH,Washington,8.2,37.9,33.4,20.5
OH,Wayne,13.5,39.1,23.3,24
OH,Williams,8.9,43.2,33.5,14.4
OH,Wood,5.2,28.3,29,37.5
OH,Wyandot,6,46.4,26.4,21.2
OK,Adair,18.2,46.6,24.3,10.9
OK,Alfalfa,12.6,37.2,29.5,20.7
OK,Atoka,17.3,40.8,27.2,14.8
OK,Beaver,14.5,31,31.8,22.7
OK,Beckham,15.2,39.5,30.1,15.2
OK,Blaine,17.4,36.4,28.4,17.8
OK,Bryan,12.8,34.2,29.3,23.8
OK,Caddo,13.4,45.4,26.1,15.1
OK,Canadian,8,27.2,32.7,32
OK,Carter,12.6,36.1,31.7,19.6
OK,Cherokee,11.6,32,27.8,28.6
OK,Choctaw,15.6,38.4,31.3,14.7
OK,Cimarron,12.5,36.7,19.1,31.7
OK,Cleveland,7.8,25.1,31.9,35.2
OK,Coal,16.3,42.4,24,17.2
OK,Comanche,9.7,32.7,33.9,23.8
OK,Cotton,16,38.6,27.2,18.2
OK,Craig,15,40.3,31.4,13.4
OK,Creek,9.7,39.9,32.5,18
OK,Custer,11.9,27.4,29.7,31.1
OK,Delaware,14.1,37.3,29.8,18.7
OK,Dewey,6.9,44.4,29.1,19.5
OK,Ellis,13.5,37.9,29.6,19
OK,Garfield,13.2,36.6,27.5,22.7
OK,Garvin,12.7,43.5,27.4,16.4
OK,Grady,9.4,39.1,29.4,22.1
OK,Grant,8,37.6,32,22.4
OK,Greer,18.4,36.2,36,9.4
OK,Harmon,20,33.7,31.5,14.8
OK,Harper,9.8,32,35.1,23
OK,Haskell,15.5,40.8,29,14.7
OK,Hughes,15.8,41.4,28.2,14.6
OK,Jackson,14.1,26.4,35.2,24.2
OK,Jefferson,15.2,41.8,26.2,16.7
OK,Johnston,11.9,37,30.1,20.9
OK,Kay,10.6,34.1,37.1,18.1
OK,Kingfisher,9,43.4,24.7,22.9
OK,Kiowa,14.4,32.1,35.7,17.9
OK,Latimer,14.5,37.5,35.1,12.8
OK,Le Flore,15.1,40.2,29.5,15.2
OK,Lincoln,10.9,41.5,31.7,15.9
OK,Logan,8.2,31,30,30.7
OK,Love,16.1,36.9,31.7,15.3
OK,McClain,11.1,31.9,30.1,26.8
OK,McCurtain,15,42.3,27,15.7
OK,McIntosh,13.6,43.8,29.1,13.6
OK,Major,9.3,43.2,29.2,18.3
OK,Marshall,18.1,38.4,27.8,15.6
OK,Mayes,10.8,40,33.8,15.4
OK,Murray,13.2,40.9,28.4,17.5
OK,Muskogee,13.1,34.3,32.4,20.2
OK,Noble,9.7,37.1,33.5,19.7
OK,Nowata,10,41.6,31.5,16.8
OK,Okfuskee,16.6,39.8,31.1,12.5
OK,Oklahoma,11.5,24.2,30.1,34.2
OK,Okmulgee,12.8,35.7,35.5,16
OK,Osage,10.5,37.1,32.3,20.1
OK,Ottawa,13.3,35.2,36.1,15.4
OK,Pawnee,12.3,42.4,28.8,16.4
OK,Payne,6.9,27.8,26.7,38.6
OK,Pittsburg,13.3,37.2,30.6,19
OK,Pontotoc,10.5,33.2,27.5,28.8
OK,Pottawatomie,11.4,35,32.8,20.9
OK,Pushmataha,15.9,44,26.1,14
OK,Roger Mills,7.5,34.3,35.9,22.3
OK,Rogers,7.8,33.1,33.9,25.1
OK,Seminole,14.7,36.5,34,14.8
OK,Sequoyah,16.5,38.4,30.1,15
OK,Stephens,11.3,42.2,27.6,18.9
OK,Texas,24.6,27.8,23.1,24.5
OK,Tillman,20.5,34.5,26.9,18.2
OK,Tulsa,10.1,25.3,31.3,33.2
OK,Wagoner,8.4,30.6,34.9,26.1
OK,Washington,8.5,32.3,28.5,30.7
OK,Washita,10.9,40.6,28.9,19.6
OK,Woods,10.1,30.7,27.1,32.1
OK,Woodward,12.8,40.3,27.6,19.3
OR,Oregon,8.4,22.5,33.6,35.5
OR,Baker,8.6,28.2,38.8,24.4
OR,Benton,4,14.6,27.6,53.8
OR,Clackamas,5.6,21.6,33.6,39.2
OR,Clatsop,7.8,27.1,39.4,25.7
OR,Columbia,9.4,33.4,38.8,18.4
OR,Coos,10,31,38.5,20.6
OR,Crook,9.7,31.2,38.2,20.9
OR,Curry,8.9,26,41.4,23.7
OR,Deschutes,5.7,19.2,34.3,40.8
OR,Douglas,8.7,32.6,39.8,18.9
OR,Gilliam,10.2,28.9,39,21.9
OR,Grant,10.9,32.9,37,19.3
OR,Harney,8.8,38.8,38.3,14.2
OR,Hood River,15.9,21.1,24.8,38.3
OR,Jackson,9,25.7,35.3,30
OR,Jefferson,12.1,29.2,37.4,21.2
OR,Josephine,9,31.1,41.2,18.6
OR,Klamath,10.7,33.7,34.8,20.8
OR,Lake,13,32.5,34.7,19.8
OR,Lane,7.2,22.7,37.1,33
OR,Lincoln,7.2,24.1,39.8,28.9
OR,Linn,9.2,29.5,40.9,20.4
OR,Malheur,18.6,31.1,35.8,14.6
OR,Marion,14.3,25.2,35.5,25
OR,Morrow,23.2,32.7,32.8,11.3
OR,Multnomah,7.7,16.8,27.8,47.7
OR,Polk,8.2,23.1,37.6,31
OR,Sherman,11.8,34.6,37.6,16
OR,Tillamook,9.3,27.9,39,23.8
OR,Umatilla,15.5,31.4,34.9,18.2
OR,Union,7.2,33.2,35.7,23.8
OR,Wallowa,6.7,27.2,34.1,32
OR,Wasco,13.6,26.7,37.7,22
OR,Washington,7.1,17.2,29.9,45.8
OR,Wheeler,8.4,32.2,39.5,20
OR,Yamhill,10.1,24.4,36.2,29.3
PA,Pennsylvania,8.3,33.5,24.4,33.8
PA,Adams,9.7,40.2,25.7,24.4
PA,Allegheny,4.8,25.8,25.6,43.8
PA,Armstrong,7.6,48.9,24.9,18.6
PA,Beaver,5.3,36.6,31.3,26.8
PA,Bedford,9.7,48.7,25.5,16.1
PA,Berks,11.9,36.6,24.7,26.8
PA,Blair,7,44.8,24.7,23.4
PA,Bradford,9.4,47.1,23.5,20
PA,Bucks,5.3,27.8,23.6,43.3
PA,Butler,4.3,32,25.3,38.3
PA,Cambria,7.2,44.4,25.7,22.7
PA,Cameron,7.4,51.9,29.8,10.9
PA,Carbon,10.3,44.1,27.3,18.3
PA,Centre,5.2,28.7,19.9,46.2
PA,Chester,5.3,19.3,19.3,56.1
PA,Clarion,9.1,46.4,21.7,22.7
PA,Clearfield,10.1,46.9,23.8,19.1
PA,Clinton,10.5,46.1,23.2,20.3
PA,Columbia,8.4,44.3,21.9,25.5
PA,Crawford,9.4,47.4,22.6,20.6
PA,Cumberland,6.5,31.3,23.6,38.7
PA,Dauphin,8.8,32.3,25.6,33.3
PA,Delaware,6.5,27.6,25,40.9
PA,Elk,6.9,50.2,24.4,18.5
PA,Erie,7.5,37.3,25.6,29.6
PA,Fayette,10.2,47.9,23.3,18.6
PA,Forest,14.2,53.2,21,11.6
PA,Franklin,9.8,43.7,23.6,23
PA,Fulton,10.6,49.5,23.6,16.3
PA,Greene,10.6,44.2,24.2,21.1
PA,Huntingdon,10,49.9,22,18.1
PA,Indiana,8,40.9,24.9,26.2
PA,Jefferson,8.8,51.3,22.9,17
PA,Juniata,17,48.5,20.1,14.3
PA,Lackawanna,8.4,35.5,26.1,29.9
PA,Lancaster,13,34.5,21.9,30.5
PA,Lawrence,8,42.8,27.1,22
PA,Lebanon,12.5,41.9,22.7,22.9
PA,Lehigh,9.8,32.2,25.7,32.4
PA,Luzerne,9.5,37.8,28.2,24.5
PA,Lycoming,9.2,38.5,27.9,24.4
PA,McKean,7.2,47.2,26.1,19.5
PA,Mercer,9.5,40.9,25.5,24.1
PA,Mifflin,15.2,49.2,22.4,13.2
PA,Monroe,10.1,35.3,28,26.6
PA,Montgomery,5.2,22.6,20.8,51.4
PA,Montour,7.4,34.7,21.5,36.4
PA,Northampton,8,33.1,26,32.8
PA,Northumberland,10.1,48.1,23.4,18.5
PA,Perry,10.9,46.2,24.7,18.3
PA,Philadelphia,13.1,30.3,23,33.6
PA,Pike,6.9,34,31.6,27.4
PA,Potter,9.9,47.3,26.2,16.7
PA,Schuylkill,10.3,44.9,26.3,18.5
PA,Snyder,15.1,44,19.9,21
PA,Somerset,10,49.1,23.7,17.2
PA,Sullivan,9.2,48.6,23.3,18.9
PA,Susquehanna,8.5,46.2,25.4,19.9
PA,Tioga,8.3,43.9,26.5,21.3
PA,Union,13.7,42.3,19,25.1
